"id","code","name","parent_id/id"
"cat_1479","1479","Менеджери (управителі) з надання інших послуг юридичним особам","cat_147"
"cat_148","148","Менеджери (управителі) в освіті, охороні здоров'я та соціальній сфері","cat_14"
"cat_1482","1482","Менеджери (управителі) в охороні здоров'я","cat_148"
"cat_1483","1483","Менеджери (управителі) у соціальній сфері","cat_148"
"cat_149","149","Менеджери (управителі) в інших видах економічної діяльності","cat_14"
"cat_1491","1491","Менеджери (управителі) у житлово-комунальному господарстві","cat_149"
"cat_1492","1492","Менеджери (управителі) у сфері культури, відпочинку та спорту","cat_149"
"cat_1493","1493","Менеджери (управителі) систем якості","cat_149"
"cat_1494","1494","Менеджери (управителі) екологічних систем","cat_149"
"cat_1495","1495","Менеджери (управителі) систем з інформаційної безпеки","cat_149"
"cat_1496","1496","Менеджери (управителі) із соціальної та корпоративної відповідальності","cat_149"
"cat_1497","1497","Менеджери (управителі) інформаційних технологій","cat_149"
"cat_1499","1499","Менеджери (управителі) в інших видах економічної діяльності не віднесені до інших угрупувань","cat_149"
"cat_2","2","Професіонали","cat_dk003_root"
"cat_21","21","Професіонали в галузі фізичних, математичних та технічних наук","cat_2"
"cat_211","211","Професіонали в галузі фізики, астрономії, метеорології та хімії","cat_21"
"cat_2111","2111","Професіонали в галузі фізики та астрономії","cat_211"
"cat_2111_1","2111.1","Наукові співробітники (фізика, астрономія)","cat_2111"
"cat_2111_2","2111.2","Фізики та астрономи","cat_2111"
"cat_2112","2112","Професіонали в галузі метеорології","cat_211"
"cat_2112_1","2112.1","Наукові співробітники (метеорологія)","cat_2112"
"cat_2112_2","2112.2","Метеорологи","cat_2112"
"cat_2113","2113","Професіонали в галузі хімії","cat_211"
"cat_2113_1","2113.1","Наукові співробітники (хімія)","cat_2113"
"cat_2113_2","2113.2","Хіміки","cat_2113"
"cat_2114","2114","Професіонали в галузі геології та геофізики","cat_211"
"cat_2114_1","2114.1","Наукові співробітники (геологія, геофізика, гідрологія, геоінформатика)","cat_2114"
"cat_2114_2","2114.2","Геологи та геофізики","cat_2114"
"cat_212","212","Професіонали в галузі математики та статистики","cat_21"
"cat_2121","2121","Професіонали в галузі математики","cat_212"
"cat_2121_1","2121.1","Наукові співробітники (математика)","cat_2121"
"cat_2121_2","2121.2","Математики","cat_2121"
"cat_2122","2122","Професіонали в галузі статистики","cat_212"
"cat_2122_1","2122.1","Наукові співробітники (статистика)","cat_2122"
"cat_2122_2","2122.2","Професіонали-статистики","cat_2122"
"cat_213","213","Професіонали в галузі обчислень (комп'ютеризації)","cat_21"
"cat_2131","2131","Професіонали в галузі обчислювальних систем","cat_213"
"cat_2131_1","2131.1","Наукові співробітники (обчислювальні системи)","cat_2131"
"cat_2131_2","2131.2","Розробники обчислювальних систем","cat_2131"
"cat_2132","2132","Професіонали в галузі програмування","cat_213"
"cat_2132_1","2132.1","Наукові співробітники (програмування)","cat_2132"
"cat_2132_2","2132.2","Розробники комп'ютерних програм","cat_2132"
"cat_2139","2139","Професіонали в інших галузях обчислень (комп'ютеризації)","cat_213"
"cat_2139_1","2139.1","Наукові співробітники (інші галузі обчислень)","cat_2139"
"cat_2139_2","2139.2","Професіонали в інших галузях обчислень","cat_2139"
"cat_214","214","Професіонали в галузі архітектури та інженерної справи","cat_21"
"cat_2141","2141","Професіонали в галузі архітектури та планування міст","cat_214"
"cat_2141_1","2141.1","Наукові співробітники (архітектура, планування міст)","cat_2141"
"cat_2141_2","2141.2","Архітектори та планувальники міст","cat_2141"
"cat_2142","2142","Професіонали в галузі будівництва","cat_214"
"cat_2142_1","2142.1","Наукові співробітники (будівництво)","cat_2142"
"cat_2142_2","2142.2","Інженери в галузі будівництва","cat_2142"
"cat_2143","2143","Професіонали в галузі електротехніки","cat_214"
"cat_2143_1","2143.1","Наукові співробітники (електротехніка)","cat_2143"
"cat_2143_2","2143.2","Інженери-електрики","cat_2143"
"cat_2144","2144","Професіонали в галузі електроніки та електронних комунікацій","cat_214"
"cat_2144_1","2144.1","Наукові співробітники (електроніка, електронні комунікації)","cat_2144"
"cat_2144_2","2144.2","Інженери в галузі електроніки та електронних комунікацій","cat_2144"
"cat_2145","2145","Професіонали в галузі інженерної механіки","cat_214"
"cat_2145_1","2145.1","Наукові співробітники (інженерна механіка)","cat_2145"
"cat_2145_2","2145.2","Інженери-механіки","cat_2145"
"cat_2146","2146","Професіонали в галузі хімічних технологій","cat_214"
"cat_2146_1","2146.1","Наукові співробітники (хімічні технології)","cat_2146"
