"id","code","name","profession_classifier_catalog_id/id"
"pc_00337","1222.2","Майстер майстерні спеціальної техніки та устаткування (промисловість)","cat_1222_2"
"pc_00338","1222.2","Майстер на підземних роботах з проходки гірничих виробок","cat_1222_2"
"pc_00339","1222.2","Майстер дослідної установки","cat_1222_2"
"pc_00340","1222.2","Майстер основної виробничої дільниці","cat_1222_2"
"pc_00341","1222.2","Майстер підземної дільниці (на підземних роботах)","cat_1222_2"
"pc_00342","1222.2","Майстер з добування нафти, газу та конденсату","cat_1222_2"
"pc_00343","1222.2","Майстер з дослідження свердловин","cat_1222_2"
"pc_00344","1222.2","Майстер з комплексної автоматизації та телемеханіки","cat_1222_2"
"pc_00345","1222.2","Майстер з випробування свердловин","cat_1222_2"
"pc_00346","1222.2","Майстер з освоєння та ремонту нагнітальних свердловин","cat_1222_2"
"pc_00347","1222.2","Майстер з підготовки газу","cat_1222_2"
"pc_00348","1222.2","Майстер з підготовки та стабілізації нафти","cat_1222_2"
"pc_00349","1222.2","Майстер з промислової геофізики","cat_1222_2"
"pc_00350","1222.2","Майстер з ремонту","cat_1222_2"
"pc_00351","1222.2","Майстер з ремонту гідроспоруд","cat_1222_2"
"pc_00352","1222.2","Майстер з ремонту металургійних печей","cat_1222_2"
"pc_00353","1222.2","Майстер з ремонту, налагодження, перевірки та пуску устаткування атомних станцій","cat_1222_2"
"pc_00354","1222.2","Майстер з ремонту устаткування (промисловість)","cat_1222_2"
"pc_00355","1222.2","Майстер з ремонту приладів та апаратури","cat_1222_2"
